name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Base ModSpec,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Сборник заметок, рекомендаций и практических примеров, которые позволяют адаптировать и применять эту модификацию к различным корпусам.",50
,,,,,,,,,,,,,,,
# industry-slotted items,,,,,,,,,,,,,,,
Поврежденная нанокузница,corrupted_nanoforge,"nanoforge, pather4",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Мощный и универсальный производственный ""черный ящик"", способный развиваться в промышленных масштабах, при наличии необходимого сырья и человеческой помощи.

Эта модель пережила лучшие времена и не способен производить бездефектные компоненты. Тем не менее, получение доступа к нанокузнице - это шаг вперед в строительстве звездолетов.",139
Рабочая нанокузница,pristine_nanoforge,"nanoforge, hist3t, pather4",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Мощный и универсальный производственный черный ящик, способный развиваться в промышленных масштабах, при наличии необходимого сырья и человеческой помощи.

Эта модель как новая, по крайней мере, согласно данным диагностики. На практике получение бездефектных компонентов звездолетов все еще является сложной задачей, учитывая общее состояние производства в Секторе, но эта нанокузница настолько хороша, насколько это возможно.",139.1
Ядро синхротрона,synchrotron,"hist3t, pather4",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Специализированная нанокузница, с установленными микропрограммами и нанотехнологиями для создания Синхротрона, позволяющего производить антиматерию в промышленных масштабах.",139.2
Орбитальная Термоядерная Лампа,orbital_fusion_lamp,"hist3t, pather4",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Миниатюрный термоядерный реактор с переменной мощностью, способный обеспечить достаточное количество света и тепла для планеты.

Безопасная эксплуатация требует огромного количества летучих веществ. Если спрос не будет удовлетворен, это может дестабилизировать реактор, что может привести к неконтролируемой производительности. Судебные разбирательства по поводу того, является ли это устройство изначально небезопасным или просто эксплуатируется небезопасно, постоянно продолжались в судах домена до Краха.",135
Гипершунт,coronal_portal,"hist3t, pather8",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Консоль миниатюрной червоточины, которая может быть активирована для подключения к ближайшему корональному Гипершунту, обеспечивая колонию практически неограниченной мощностью.

Операция требует промышленного количества трансплутоников, которые сначала используются для открытия червоточины, а затем - как только потребляемая энергия становится самоподдерживающейся - расходуются в сложном абляционном процессе, который поддерживает стабильность червоточины. Любое прерывание подачи требует полного отключения устройства.",137
Автономный мантийный бур,mantle_bore,"hist3t, pather4",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Хотя считается, что в Секторе не осталось работающих блоков переопределения управления, сам бур способен к автономной - хотя иногда и непредсказуемой - работе. Система защиты, в автоматическом режиме, исключает его использование на обитаемых мирах.",140
Каталитическое ядро,catalytic_core,"hist3t, pather4",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,"Значительно повышает эффективность операций по очистке, благодаря удивительной физики космоса. Операция требует доступа к вакууму в масштабах, труднодостижимых на планетах со значительным атмосферным давлением.",145
Почвенные наниты,soil_nanites,"hist3t, pather4",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Позволяет обогащать и восстанавливать почву со скоростью, значительно превышающей ту, с которой протекают естественные процессы без посторонней помощи. Правило Безопасности Нанонитов Домена 4324, подраздел 81 запрещает использование на мирах с трансплутоническими рудными или летучими месторождениями, и к сожалению встроенная защита отлично функционирует.",150
Биофакторный эмбрион,biofactory_embryo,"hist3t, pather4",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"Головокружительное множество потребительских товаров можно выращивать, а не производить. Полностью экструдированная биофабрика процветает только в тонком балансе солнечного света, питательных веществ почвы и атмосферных условий, которые может обеспечить обитаемый мир. Попытки имитировать эти условия в искусственных средах всегда терпят неудачу, что приводит к заболеванию фабрики, предположительно из-за генетически закодированной системы безопасности.",155
Фуллереновая катушка,fullerene_spool,"hist3t, pather4",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport","Сверхпрочный кабель из углеродной наносетки, который является ключом к строительству космического лифта. Значительно повышает эффективность логистики между поверхностью планеты и низкой орбитой.",160
Плазменное динамо,plasma_dynamo,"hist3t, pather4",Fabrique Orbitale,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Сверхпроводниковая центральная часть промышленной системы, которая создает плазменную сеть планетарного масштаба, позволяющую быстро и эффектно извлекать летучие вещества из атмосферы подходящего газового гиганта.",165
Криоарифметический двигатель,cryoarithmetic_engine,"hist3t, pather4",Domain Restricted,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","Квантовый компьютер, который нарушает второй закон термодинамики, становясь холоднее, а не горячее при выполнении вычислений.

Массивная, охватывающая всю планету сеть усиков, заканчивающихся радиаторами, вытягивается, используя тепло для подпитки роста и продолжения вычислений. Чем горячее поверхность планеты, тем эффективнее вычислительный механизм. Непревзойденная перерабатывающая способность является преимуществом для логистического и стратегического планирования.",170
Репликатор боевых дронов,drone_replicator,"hist3t, pather4",Ko Combine,,60000,1000,1,EXTREME,graphics/icons/cargo/combat_drone_replicator.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"grounddefenses, heavybatteries","Массовое производство ряда вариантов беспилотных летательных аппаратов, все они подходят для различных задач, связанных с планетарной защитой от набегов и вторжений, а также действиями по обеспечению местной безопасности.

Его использование было запрещено Доменом за много циклов до Краха, поэтому удивительно найти рабочий образец в Персеанском секторе.",175
Торговая Голокомната,dealmaker_holosuite,"hist3t, pather4",Mbaye-Gogol,,120000,1000,1,EXTREME,graphics/icons/cargo/holosuite.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,commerce,"Создает интерактивную среду, предназначенную для моделирования переговоров с потенциальными деловыми партнерами. Кроме того, самоадаптирующиеся микроэмоциональные интеллектуальные сенсорные системы, встроенные в такие высококлассные комплекты VR, позволяют в реальном времени отслеживать достоверность выражения лица, обеспечивая оператору объекта техническое этическое преимущество в деловых отношениях.  

Встроенные маркетинговые материалы стремятся подчеркнуть, что это не ИИ, а просто сложная взвешенная сеть в полном соответствии с соответствующими правилами Домена.",180
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# blueprints,,,,,,,,,,,,,,,
Простые чертежи,low_tech_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,"Позволяет тяжелой промышленности производить простые корпуса кораблей, оружие и истребители.",200
Продвинутые чертежи,midline_package,package_bp,,,25000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,"Позволяет тяжелой промышленности производить усовершенствованные корпуса кораблей, оружие и истребители.",210
Высокотехнологичные чертежи,high_tech_package,package_bp,,,30000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,"Позволяет тяжелой промышленности производить высокотехнологичные корпуса кораблей, оружие и истребители.",220
Чертежи ракет,missile_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,"Позволяет тяжелой промышленности производить ряд наиболее распространенных видов ракетного оружия.",230
Пиратские чертежи,pirate_package,package_bp,,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,"Пакет поврежденных чертежей, которые были частично восстановлены и незаконно модифицированы хакерами. Позволяет предприятиям тяжелой промышленности производить некачественные, но внушающие страх корпуса. Эти чертежи часто используются пиратами и преступниками.",240
Луддитские чертежи,LP_package,package_bp,,,18000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,"Незаконно модифицированные хакерами чертежи, которые позволяют предприятиям тяжелой промышленности производить корабли, чаще всего используемые членами Луддитской церкви.",250
Чертежи Луддитской церкви,LC_package,package_bp,,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,"Позволяет предприятиям тяжелой промышленности производить корабли, окрашенные логотипом Луддитской церкви. Поскольку эти модификации в основном являются декоративными, производство корпуса и другие конструкции совпадают",260
Чертежи 14-го легиона,XIV_package,"package_bp, no_drop",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,"Позволяет предприятиям тяжелой промышленности производить полный набор легендарных военных кораблей 14-го легиона. Существование чертежей и где они скрыты, по-прежнему остается горячей темой во всех барах галактики.",270
Чертежи высшего руководства,heg_aux_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"Коллекция модифицированных чертежей, которые улучшают некоторые технические характеристики гражданских кораблей или просто добавляют маркировку Высшего руководства. Созданные вскоре после коллапса, эти чертежи улучшают характеристики корпуса, но не увеличивают количество d-модов, из-за незаконной модификации чертежей.",280
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Чертеж базового корабля,ship_bp,single_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,"Позволяет тяжелой промышленности строить корпуса судов, описанные в этом проекте.",300
Чертеж базового оружия,weapon_bp,single_bp,,,2000,1000,1,,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,"Позволяет тяжелой промышленности создавать корабельное оружие, описанное в этом проекте.",310
Чертеж базового истребителя,fighter_bp,single_bp,,,3000,1000,1,,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,"Позволяет тяжелой промышленности строить истребители LPC, описанные в этом проекте.",320
,,,,,,,,,,,,,
Базовый промышленный чертеж,industry_bp,,,,20000,1000,1,,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,"Содержит технические характеристики, необходимые для строительства планетной промышленности или структур.",400
,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
Устройство Януса,janus,mission_item,,,100000,1000,1,,graphics/icons/cargo/janus_device.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.JanusDevicePlugin,,"Это устройство Януса первого поколения, созданное Элиссой Зал на основе теорий, разработанных, в частности, Сциллой Курез.

Будучи интегрированным с гипердвигателем, это устройство позволяет передавать гиперволновой импульс во врата, настроенный на уникальные резонансные сигнатуры двух врат. После огромного расхода энергии, для выработки которой требуется большое количество топлива, создается временная связь между этими вратами. Затем один корабль или флот может пройти через сеть ворот.",0
